Rank,Layer,Head,certain,manipulated_1,manipulated_2,manipulated_3,increase_certain_to_manipulated_1,increase_manipulated_1_to_manipulated_2,increase_manipulated_2_to_manipulated_3,total_increase_certain_to_manipulated_3,trend_slope_per_step,monotonic_increase
165,26,Head_19,0.0,0.0952,0.1324,0.1919,0.0952,0.03719999999999998,0.0595,0.1919,0.06396666666666666,True
166,16,Head_24,0.0,0.0892,0.1399,0.1907,0.0892,0.050699999999999995,0.05080000000000001,0.1907,0.06356666666666667,True
167,12,Head_5,0.0,0.0991,0.1444,0.1903,0.0991,0.04530000000000001,0.045899999999999996,0.1903,0.06343333333333333,True
168,17,Head_7,0.0,0.0953,0.1399,0.1902,0.0953,0.0446,0.05030000000000001,0.1902,0.0634,True
169,21,Head_9,0.0,0.0815,0.1268,0.1902,0.0815,0.04529999999999999,0.06340000000000001,0.1902,0.0634,True
170,16,Head_17,0.0,0.0897,0.1364,0.1899,0.0897,0.04669999999999999,0.05350000000000002,0.1899,0.06330000000000001,True
171,11,Head_24,0.0,0.0934,0.1395,0.1898,0.0934,0.046100000000000016,0.050299999999999984,0.1898,0.06326666666666667,True
172,19,Head_11,0.0,0.0859,0.1378,0.1895,0.0859,0.0519,0.051699999999999996,0.1895,0.06316666666666666,True
173,9,Head_1,0.0,0.0952,0.14,0.1891,0.0952,0.044800000000000006,0.04909999999999998,0.1891,0.06303333333333333,True
174,10,Head_25,0.0,0.103,0.1527,0.1884,0.103,0.04970000000000001,0.03570000000000001,0.1884,0.06280000000000001,True
175,12,Head_27,0.0,0.099,0.1459,0.1882,0.099,0.0469,0.042300000000000004,0.1882,0.06273333333333334,True
176,15,Head_12,0.0,0.0891,0.1219,0.1879,0.0891,0.032799999999999996,0.06600000000000002,0.1879,0.06263333333333333,True
177,20,Head_25,0.0,0.0815,0.1373,0.1879,0.0815,0.0558,0.050600000000000006,0.1879,0.06263333333333333,True
178,10,Head_19,0.0,0.1062,0.1451,0.1871,0.1062,0.038900000000000004,0.04199999999999998,0.1871,0.06236666666666666,True
179,29,Head_25,0.0,0.0948,0.1456,0.1871,0.0948,0.05080000000000001,0.04149999999999998,0.1871,0.06236666666666666,True
180,31,Head_28,0.0,0.0922,0.1385,0.1864,0.0922,0.04630000000000001,0.0479,0.1864,0.06213333333333334,True
181,9,Head_24,0.0,0.0986,0.1437,0.186,0.0986,0.0451,0.042300000000000004,0.186,0.062,True
182,13,Head_25,0.0,0.0867,0.1348,0.1852,0.0867,0.048100000000000004,0.0504,0.1852,0.061733333333333335,True
183,11,Head_14,0.0,0.0951,0.1423,0.1844,0.0951,0.047200000000000006,0.0421,0.1844,0.06146666666666667,True
184,16,Head_31,0.0,0.0753,0.127,0.1843,0.0753,0.051699999999999996,0.05729999999999999,0.1843,0.06143333333333333,True
185,12,Head_8,0.0,0.0884,0.1398,0.1841,0.0884,0.0514,0.044300000000000006,0.1841,0.061366666666666674,True
186,8,Head_26,0.0,0.0807,0.1294,0.1831,0.0807,0.04869999999999999,0.053700000000000025,0.1831,0.061033333333333335,True
187,13,Head_28,0.0,0.0932,0.1367,0.1827,0.0932,0.04349999999999998,0.04600000000000001,0.1827,0.0609,True
188,10,Head_17,0.0,0.0736,0.1125,0.1824,0.0736,0.038900000000000004,0.0699,0.1824,0.0608,True
189,16,Head_19,0.0,0.0993,0.1421,0.182,0.0993,0.042800000000000005,0.03989999999999999,0.182,0.06066666666666667,True
190,12,Head_2,0.0,0.0881,0.1383,0.1814,0.0881,0.05020000000000001,0.0431,0.1814,0.06046666666666667,True
191,14,Head_15,0.0,0.0879,0.1376,0.1805,0.0879,0.049699999999999994,0.042899999999999994,0.1805,0.06016666666666667,True
192,28,Head_11,0.0,0.0785,0.1189,0.1802,0.0785,0.040400000000000005,0.06129999999999999,0.1802,0.060066666666666664,True
193,14,Head_21,0.0,0.0888,0.1344,0.1801,0.0888,0.04559999999999999,0.04570000000000002,0.1801,0.060033333333333334,True
194,20,Head_9,0.0,0.0844,0.1229,0.1787,0.0844,0.03849999999999999,0.0558,0.1787,0.059566666666666664,True
195,17,Head_29,0.0,0.1086,0.1453,0.1779,0.1086,0.03670000000000001,0.03259999999999999,0.1779,0.0593,True
196,16,Head_15,0.0,0.0821,0.1248,0.1777,0.0821,0.04269999999999999,0.0529,0.1777,0.05923333333333333,True
197,27,Head_15,0.0,0.0777,0.1245,0.1776,0.0777,0.046799999999999994,0.05310000000000001,0.1776,0.0592,True
198,14,Head_9,0.0,0.0797,0.127,0.1748,0.0797,0.04730000000000001,0.04780000000000001,0.1748,0.05826666666666667,True
199,9,Head_21,0.0,0.0873,0.1342,0.1746,0.0873,0.04690000000000001,0.04039999999999999,0.1746,0.0582,True
200,12,Head_0,0.0,0.0782,0.127,0.1744,0.0782,0.048799999999999996,0.0474,0.1744,0.058133333333333335,True
201,27,Head_11,0.0,0.0838,0.1256,0.174,0.0838,0.04179999999999999,0.0484,0.174,0.057999999999999996,True
202,7,Head_28,0.0,0.0787,0.1295,0.1736,0.0787,0.0508,0.0441,0.1736,0.05786666666666667,True
203,15,Head_27,0.0,0.0842,0.1307,0.1735,0.0842,0.046500000000000014,0.04279999999999998,0.1735,0.05783333333333333,True
204,8,Head_30,0.0,0.0876,0.1268,0.1733,0.0876,0.0392,0.046500000000000014,0.1733,0.05776666666666667,True
205,30,Head_30,0.0,0.1031,0.1425,0.1733,0.1031,0.03939999999999999,0.030800000000000022,0.1733,0.05776666666666667,True
206,11,Head_21,0.0,0.1027,0.1506,0.173,0.1027,0.04790000000000001,0.022399999999999975,0.173,0.057666666666666665,True
207,26,Head_3,0.0,0.0836,0.1266,0.1721,0.0836,0.043,0.04550000000000001,0.1721,0.05736666666666667,True
208,10,Head_26,0.0,0.1099,0.1433,0.1718,0.1099,0.03340000000000001,0.028499999999999998,0.1718,0.05726666666666667,True
209,9,Head_31,0.0,0.0987,0.1364,0.1716,0.0987,0.0377,0.03520000000000001,0.1716,0.0572,True
210,11,Head_11,0.0,0.0752,0.1185,0.1715,0.0752,0.04329999999999999,0.05300000000000002,0.1715,0.05716666666666667,True
211,30,Head_18,0.0,0.1016,0.1278,0.1715,0.1016,0.0262,0.04370000000000002,0.1715,0.05716666666666667,True
