Example,Label,PC1,PC2
397,not_enough_info,0.52755463,0.69182485
398,not_enough_info,0.4489598,0.5660089
399,not_enough_info,0.51595056,0.7551685
400,not_enough_info,-0.55842835,0.1551922
401,not_enough_info,-0.38786593,-0.11990741
402,not_enough_info,-0.21072231,-0.46657702
403,not_enough_info,0.39970538,0.0066146194
404,not_enough_info,-0.32288986,0.3221558
405,not_enough_info,-0.108504504,0.41389176
406,not_enough_info,-0.3170675,0.25984204
407,not_enough_info,-0.39674833,0.29731923
408,not_enough_info,0.7428013,0.3634727
409,not_enough_info,-0.41252095,0.15908988
410,not_enough_info,-0.0846423,-0.08624047
411,not_enough_info,-0.3298393,-0.14950202
412,not_enough_info,-0.20721076,0.100148395
413,not_enough_info,-0.1915477,0.32597217
414,not_enough_info,-0.11420535,0.37458828
415,not_enough_info,0.86339515,0.2587374
416,not_enough_info,-0.059398536,-0.8568617
417,not_enough_info,0.9094523,-0.55964
418,not_enough_info,0.8905865,-0.41973078
419,not_enough_info,-0.104378626,-0.78155077
420,not_enough_info,0.9900445,-0.58445543
421,not_enough_info,0.8022053,-0.5548905
422,not_enough_info,-0.7242355,-0.22523333
423,not_enough_info,0.52526814,-0.20936416
424,not_enough_info,-0.11493689,-0.5158657
425,not_enough_info,-0.29931656,-0.13080506
426,not_enough_info,-0.30866167,-0.2758413
427,not_enough_info,0.13927506,-0.23760085
428,not_enough_info,0.55101633,-0.6088013
429,not_enough_info,-0.079297625,-0.6252519
430,not_enough_info,0.09430778,-0.52967596
431,not_enough_info,0.4209611,-0.35628355
432,not_enough_info,-0.0662521,-0.1298961
433,not_enough_info,-0.16644487,-0.22227663
434,not_enough_info,0.37168074,-0.5260984
435,not_enough_info,0.18471573,-0.57572323
436,not_enough_info,0.16817456,-0.13478015
437,not_enough_info,0.7305874,-0.4841794
438,not_enough_info,0.52235276,0.422444
439,not_enough_info,0.53529376,0.29465538
440,not_enough_info,-0.6502844,0.23979238
441,not_enough_info,-0.5224903,0.5174954
442,not_enough_info,-0.46669573,0.030281115
443,not_enough_info,-0.28930297,-0.01872225
444,not_enough_info,-0.6699135,0.23165207
445,not_enough_info,-0.51338714,0.38319656
446,not_enough_info,-0.6346352,0.18665819
447,not_enough_info,-0.31070316,-0.06788211
448,not_enough_info,-0.11293299,-0.75856394
449,not_enough_info,-0.13560039,-0.659076
450,not_enough_info,-0.3704799,-1.1219935
451,not_enough_info,0.058645584,-0.96974176
452,not_enough_info,0.030933244,-0.9091347
453,not_enough_info,0.98189396,-0.5535463
454,not_enough_info,-0.17470944,-0.38187128
455,not_enough_info,0.7629121,0.21749923
456,not_enough_info,0.70773643,0.28618577
457,not_enough_info,-0.16445962,0.2882313
458,not_enough_info,-0.26334903,0.19224821
459,not_enough_info,-0.2787331,0.2390437
460,not_enough_info,-0.3933637,0.31442326
461,not_enough_info,-0.2051256,-0.35768622
462,not_enough_info,0.6792586,0.39059034
463,not_enough_info,0.94454587,0.29827198
464,not_enough_info,0.46233797,-0.08918322
465,not_enough_info,-0.49241507,-0.6170625
466,not_enough_info,-0.057987314,0.32856274
467,not_enough_info,-0.45214468,0.32436192
468,not_enough_info,0.63911235,-0.13414825
469,not_enough_info,-0.45375562,0.45444754
470,not_enough_info,-0.41205394,0.5128856
471,not_enough_info,0.6576309,0.10670926
472,not_enough_info,-0.4594611,-0.170819
473,not_enough_info,0.08557794,-0.5235051
474,not_enough_info,-0.03474402,-0.44199237
475,not_enough_info,-0.15262243,-0.38733226
